Domain,IssueDate,ExpiryDate,SAN
psraav01.intern.upc.ch,03/04/2025,05/05/2026,psraav01.intern.upc.ch
psraav02.intern.upc.ch,03/04/2025,05/05/2026,psraav02.intern.upc.ch
psraavproxy01.intern.upc.ch,03/04/2025,05/05/2026,psraavproxy01.intern.upc.ch
psrb2be2ech03.intern.upc.ch,18/11/2025,20/12/2026,psrb2be2ech03.intern.upc.ch
psrb2be2ech04.intern.upc.ch,18/11/2025,20/12/2026,psrb2be2ech04.intern.upc.ch
psrbos02.intern.upc.ch,08/09/2025,10/10/2026,psrbos02.intern.upc.ch
psrilog01.intern.upc.ch,08/09/2025,10/10/2026,psrilog01.intern.upc.ch
psrproxy09n1.intern.upc.ch,08/04/2025,10/05/2026,psrproxy09n1.intern.upc.ch
psrproxy09n2.intern.upc.ch,08/04/2025,10/05/2026,psrproxy09n2.intern.upc.ch
psrSAPGRC01.intern.upc.ch,01/08/2025,02/09/2026,psrSAPGRC01.intern.upc.ch
pwp.upc.ch,31/10/2024,02/12/2025,pwp.upc.ch
q-ariba.sunrise.net,26/11/2024,28/12/2025,q-ariba.sunrise.net
rest.lebara.ch,12/11/2025,14/12/2026,rest.lebara.ch
rest.yallo.ch,03/08/2025,04/09/2026,rest.yallo.ch
rest.yallo.ch,03/08/2025,04/09/2026,www.rest.yallo.ch
rest-yallo-t01.sunrise.ch,18/11/2025,18/11/2025,
sams-rfq.sunrise.net,04/09/2024,06/10/2025,sams-rfq.sunrise.net
sams-rfq-test.sunrise.net,16/10/2025,17/11/2026,sams-rfq-test.sunrise.net
sapmobileinv.sunrise.net,25/09/2025,27/10/2026,sapmobileinv.sunrise.net
sddosp.sunrise.ch,05/05/2025,06/06/2026,sddosp.sunrise.ch
sddosp.sunrise.ch,05/05/2025,06/06/2026,sddosp.ssia.sunrise.ch
sd-rproxy.upc.ch,14/10/2025,15/11/2026,sd-rproxy.upc.ch
sd-rproxy-test.upc.ch,15/11/2024,17/12/2025,sd-rproxy-test.upc.ch
sds.sunrise.ch,22/11/2024,24/12/2025,sds.sunrise.ch
sds.sunrise.ch,22/11/2024,24/12/2025,www.sds.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,593360.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,580478.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,586736.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,574916.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,605692.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,621518.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,647385.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,651463.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,666591.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,663414.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,659393.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,658777.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,vmanage-upcch-msp.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,593360.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,580478.sdwan.sunrise.ch
sdwan.sunrise.ch,22/10/2025,23/11/2026,586736.sdwan.sunrise.ch
